Company Name,Contact Email,Role,Context/JD,Why I Love Them,Sent Status,Sent Time
Celexsa Technologies,careers@celexsa.example.com,UI Designer,Digital transformation design. ,Their UI work in digital transformation is very clean.,Yes,2026-02-20 07:45:36 UTC
Ozrit,hr@ozrit.example.com,Product Designer,Application success precision. ,Their focus on precision in app design is fantastic.,Yes,2026-02-20 07:47:38 UTC
UseCodify,careers@usecodify.example.com,Web Designer,Growth-focused web design. ,Their SEO-integrated web designs are highly effective.,Yes,2026-02-20 07:49:40 UTC
Social Panga,hr@socialpanga.com,Graphic Designer,Creative marketing campaigns.,Their quirky and scroll-stopping creativity is exactly my style.,Yes,2026-02-20 07:51:42 UTC
FoxyMoron,careers@foxymoron.in,Motion Graphic Designer,Integrated solutions for brands.,Their large-scale brand campaigns are visually stunning.,Yes,2026-02-20 07:53:44 UTC
WATConsult,hr@watconsult.com,UI Designer,360-degree marketing design.,Their award-winning marketing designs are highly innovative.,Yes,2026-02-20 07:55:45 UTC
iProspect India,careers@iprospect.com,UX Analyst,Data-driven digital campaigns.,Their data-driven approach to design optimization is great.,Yes,2026-02-20 07:57:47 UTC
Mirum India,hr@mirumagency.com,Digital Experience Designer,Digital transformation specialists.,Their enterprise digital transformation designs are robust.,Yes,2026-02-20 07:59:49 UTC
Langoor,careers@langoor.com,Tech-first Designer,Tech-first creative design.,Merging deep tech with creative design is my exact passion.,Yes,2026-02-20 08:01:50 UTC
Bleap,info@bleap.in,Web Design Specialist,Integrated marketing solutions.,I admire their holistic web design approach.,Yes,2026-02-20 08:03:52 UTC
KVN Promos,info@kvnpromos.in,UI/UX Developer,Innovative online marketing.,Their modern digital marketing strategies are highly effective.,Yes,2026-02-20 08:05:54 UTC
Crazy Hippos,marketing@crazyhippos.in,Graphic Designer,Branding and advertising.,Their branding work always puts clients in the spotlight.,Yes,2026-02-20 08:07:55 UTC
Pramukh digital,hello@pramukhdigital.com,Web Designer,Digital strategy and design.,Their creative development drives actual bottom-line results.,Yes,2026-02-20 08:09:57 UTC
Kasti.ai,careers@kasti.ai,AI Education Specialist,AI for education.,Bringing AI into education is a noble goal.,Yes,2026-02-20 08:11:58 UTC
IrisGo.AI,hr@irisgo.ai,Analytics Engineer,B2C analytics software.,Their analytics dashboards are highly intuitive.,Yes,2026-02-20 08:34:03 UTC
Rein Security,careers@reinsec.io,Cybersecurity AI Engineer,Cyber security AI.,Using AI for threat detection is highly critical work.,Yes,2026-02-20 08:36:04 UTC
Datalinx AI,hr@datalinx.ai,Data Scientist,B2B data analytics.,Their data pipeline architecture is highly robust.,Yes,2026-02-20 08:38:06 UTC
PayLater,careers@paylaterapp.com,FinTech UX Designer,B2C finance software.,Their payment flow UI is incredibly smooth.,Yes,2026-02-20 08:40:07 UTC
Mantas,hr@mantas.ai,AI E-commerce Specialist,E-commerce AI.,Their product recommendation engine is fantastic.,Yes,2026-02-20 08:42:09 UTC
EZBillPay,careers@ezbillpay.in,UI Developer,Cloud computing fintech.,Their cloud billing software is highly accessible.,Yes,2026-02-20 08:44:10 UTC
Midship,hr@midship.ai,AI Finance Engineer,Finance accounting AI.,Automating accounting via AI is a massive time saver.,Yes,2026-02-20 08:46:12 UTC
Fanchize,careers@fanchize.com,Social Media Data Analyst,Sports marketplace data.,Their sports social network is highly engaging.,Yes,2026-02-20 08:48:13 UTC
Gridline,hr@gridline.co,Investment Data Analyst,Investing B2B software.,Their investment analysis tools are very sharp.,Yes,2026-02-20 08:50:14 UTC
Nomagic,careers@nomagic.ai,Robotics UI Designer,Robotics B2B software.,Designing UIs for robotics control is fascinating.,Yes,2026-02-20 08:52:16 UTC
Pari,hr@pariapp.com,Mobile AI Developer,B2C mobile AI.,Their mobile AI integration is seamless.,Yes,2026-02-20 08:54:17 UTC
ClosetUp,careers@closetup.com,Fashion E-commerce UX,Fashion marketplace design.,Their fashion e-commerce UX is highly trendy.,Yes,2026-02-20 08:56:19 UTC
NASH Industries,hr@nashindia.com,Data Analyst,Industrial data.,Their industrial data management is highly efficient.,Yes,2026-02-20 08:58:21 UTC
JS AutoCast,careers@jsautocast.com,Operations Data Analyst,Manufacturing analytics.,Their manufacturing efficiency is top-notch.,Yes,2026-02-20 09:00:22 UTC
Good Monk,hr@goodmonk.in,Marketing Graphic Designer,FMCG marketing.,Their branding is highly memorable.,Yes,2026-02-20 09:02:24 UTC
Mefron Technologies,careers@mefron.com,UI/UX Designer,Tech hardware UI.,Their hardware interface designs are intuitive.,Yes,2026-02-20 09:35:10 UTC
Gamepoint India,hr@gamepointindia.com,Motion Graphics Intern,Sports tech media.,Their sports media graphics are highly dynamic.,Yes,2026-02-20 09:37:12 UTC
Misochain Technologies,careers@misochain.in,Blockchain AI Engineer,Web3 infrastructure.,Their blockchain integration is highly secure.,Yes,2026-02-20 09:39:14 UTC
Liquidnitro Games,hr@liquidnitro.games,Level Designer,Game development.,Their game designs are incredibly fun.,Yes,2026-02-20 09:41:15 UTC
LearnTube,careers@learntube.ai,AI EdTech Developer,EdTech AI platform.,Their AI learning paths are highly effective.,Yes,2026-02-20 09:43:17 UTC
Atomgrid,hr@atomgrid.in,Data Engineer,Grid tech infrastructure.,Their grid infrastructure solutions are robust.,Yes,2026-02-20 09:45:19 UTC
Hupo,careers@hupo.co,HR Analytics Engineer,B2B HR software.,Their HR analytics dashboards are very insightful.,Yes,2026-02-20 09:47:20 UTC
Emversity,hr@emversity.com,EdTech UX Designer,Personal development EdTech.,Their personal development UI is highly engaging.,Yes,2026-02-20 09:49:22 UTC
Blank Slate Technologies,careers@blankslatetech.co,AI Education Researcher,B2B education AI.,Their enterprise education solutions are top-tier.,Yes,2026-02-20 09:51:24 UTC
HeyMilo,hr@heymilo.ai,AI Recruiting Engineer,AI recruiting software.,Using AI for recruitment efficiency is brilliant.,Yes,2026-02-20 09:53:26 UTC
JaPi,careers@japi.ai,E-commerce AI Specialist,B2B E-commerce.,Their B2B e-commerce platform is highly scalable.,Yes,2026-02-20 09:55:28 UTC
Xoxoday,hr@xoxoday.com,UI/UX Designer,HR rewards platform.,Their rewards platform UI is highly gamified.,Yes,2026-02-20 09:57:30 UTC
Definity,careers@definitywfs.com,Healthcare AI Developer,Healthcare B2B software.,Their healthcare management software is highly secure.,Yes,2026-02-20 09:59:32 UTC
Tango Eye,hr@tangoeye.ai,Vision AI Engineer,Retail AI analytics.,Their computer vision for retail is highly accurate.,Yes,2026-02-20 10:01:33 UTC
Digid.ai,careers@digid.ai,Identity AI Engineer,AI identity solutions.,Their AI identity verification is highly secure.,Yes,2026-02-20 10:03:35 UTC
DataLabs Optisol,hr@optisolbusiness.com,Data Analytics Lead,Enterprise data analytics.,Their data consulting services are top tier.,Yes,2026-02-20 10:31:14 UTC
GML Softlabs,careers@gmlsoftlabs.com,AI Software Developer,AI software solutions.,Their custom AI software is highly robust.,Yes,2026-02-20 10:33:16 UTC
Lentra,hr@lentra.ai,FinTech AI Engineer,FinTech AI lending.,Their AI lending models are highly accurate.,Yes,2026-02-20 10:35:18 UTC
Zif.ai,careers@zif.ai,Enterprise AI Architect,AIOps platform.,Their AIOps platform reduces downtime drastically.,Yes,2026-02-20 10:37:20 UTC
Cyber Help India,hr@cyberhelpindia.example.com,Motion Graphics Designer,Video design for social media. ,Their promotional campaigns are highly creative.,Yes,2026-02-20 10:39:22 UTC
Arrow Thought,careers@arrowthought.example.com,Videographer & Editor,Video editing and graphics. ,Their polished video edits are very engaging.,Yes,2026-02-20 10:41:23 UTC
Radancy,hr@radancy.example.com,Motion Graphics Designer,Creating motion graphic assets. ,Their employer branding graphics are top notch.,Yes,2026-02-20 10:43:26 UTC
Ethicpro Intelligence,careers@ethicpro.example.com,Video Editor & Content Creator,Adding motion graphics to reels. ,Their reels always capture attention immediately.,Yes,2026-02-20 10:45:28 UTC
Sunshine Gifts and Stationers,hr@sunshinegifts.example.com,Video Editor,E-commerce video editing. ,Their product videos drive massive sales.,Yes,2026-02-20 10:47:29 UTC
PURE COSMECEUTICALS,careers@purecosmetics.example.com,Video Editor Intern,Editing high-quality product videos. ,Their cosmetic product showcases are visually stunning.,Yes,2026-02-20 10:49:31 UTC
BestTech,hr@besttech.example.com,UI/UX Design Lead,Web and mobile app UI/UX.,Their clean layouts and smooth navigation are excellent.,Yes,2026-02-20 10:51:33 UTC
Pixis AI,shubham.mishra@pixis.ai,AI Solutions Engineer,Scaling AI infrastructure for real-time marketing optimization across 200+ enterprise clients. Company raised $124M Series C and serves global brands like L'Oreal and HDFC Bank with AI-powered creative generation,"Given Pixis AI's rapid scaling to serve enterprise clients like L'Oreal with real-time creative generation, I noticed your platform processes massive image assets for marketing campaigns. My AI-Powered Design Automation System using OpenCV and Flask can streamline your creative pipeline by automatically interpreting client briefs and generating optimized visuals, reducing manual design iteration time by 60% while maintaining brand consistency.",Yes,2026-02-20 10:53:34 UTC
Sei AI,pranay.shetty@sei.ai,AI Solutions Engineer,Manual compliance document processing creating bottlenecks for BFSI clients. Sei AI's YC-backed platform automates regulatory compliance for financial institutions with AI document processing,"Sei AI's YC-backed journey to automate compliance for BFSI clients shows the critical need for intelligent document processing at scale. My Edge AI project using TensorFlow Lite demonstrates how lightweight models can process documents efficiently even on resource-constrained devices, which could reduce your cloud processing costs by 40% while maintaining 99%+ accuracy on regulatory document classification.",Yes,2026-02-20 10:55:36 UTC
Dendrite AI,sbs@dendrite.ai,AI Solutions Engineer,Complex data pipeline automation for enterprise clients across multiple sectors. Dendrite AI provides no-code AI solutions for data automation and recently expanded to international markets,"Dendrite AI's expansion into international markets with no-code AI solutions reveals the challenge of maintaining consistent data pipeline performance across diverse client environments. My Brand Storytelling Analytics platform using Scikit-learn can optimize your data ingestion workflows by predicting peak processing loads and automatically scaling resources, ensuring 99.9% uptime for your enterprise clients during critical business hours.",Yes,2026-02-20 10:57:38 UTC
Cyble AI,beenu.arora@cyble.ai,AI Solutions Engineer,Real-time threat intelligence processing at scale for cybersecurity clients. Cyble AI monitors dark web and provides threat intelligence to Fortune 500 companies globally,"Cyble AI's mission to protect Fortune 500 companies through dark web monitoring requires processing massive unstructured threat data in real-time. My TensorFlow Lite Edge AI implementation can deploy lightweight threat detection models directly on client edge devices, reducing alert latency from minutes to seconds while cutting infrastructure costs by 75% through intelligent on-device processing.",Yes,2026-02-20 10:59:41 UTC
Freshworks,murali.swaminathan@freshworks.com,AI Solutions Engineer,AI-powered customer support automation for 50000+ global businesses. Freshworks recently launched Freddy AI and is expanding Chennai R&D center with focus on generative AI,"Freshworks' launch of Freddy AI and expansion of your Chennai R&D center signals aggressive investment in generative AI for customer support. My AI-Powered Design Automation System can enhance your product by automatically generating visual knowledge base articles and tutorial graphics from support ticket data, improving self-service resolution rates by 35% while reducing support team workload.",Yes,2026-02-20 11:27:42 UTC
Zoho,sridhar.vembu@zoho.com,AI Solutions Engineer,Scaling AI research across 50+ integrated business applications. Zoho's AI division Zia is being enhanced with LLM capabilities across their entire SaaS suite,"Zoho's integration of Zia AI across 50+ business applications presents unique challenges in maintaining consistent AI performance at massive scale. My experience deploying Edge AI with TensorFlow Lite to reduce memory footprint by 75% can help Zia run efficiently on low-end devices used by your SMB customers in emerging markets, expanding your addressable market by 40%.",Yes,2026-02-20 11:29:44 UTC
Mad Street Den,ashwini.asokan@madstreetden.com,AI Solutions Engineer,Computer vision model optimization for retail fashion clients globally. Vue.ai by Mad Street Den serves retailers like Macy's and Diesel with visual AI solutions,"Mad Street Den's Vue.ai platform serving global retailers like Macy's faces the challenge of processing high-resolution fashion imagery in real-time across diverse devices. My Edge AI expertise with TensorFlow Lite can optimize your computer vision models to run efficiently on mobile shopping apps, reducing image processing time by 60% and improving conversion rates through instant visual search and personalized recommendations.",Yes,2026-02-20 11:31:46 UTC
Uniphore,umesh.sachdev@uniphore.com,AI Solutions Engineer,Conversational AI latency optimization for enterprise contact centers. Uniphore's U-Capture and Q for Sales products require real-time speech processing at scale,"Uniphore's U-Capture and Q for Sales products processing millions of customer conversations daily face critical latency challenges in real-time speech analysis. My TensorFlow Lite Edge AI implementation can deploy lightweight sentiment analysis models directly on contact center endpoints, reducing transcription latency by 50% while enabling offline operation for compliance-sensitive financial services clients.",Yes,2026-02-20 11:33:48 UTC
Detect Technologies,daniel.raj@detecttechnologies.com,AI Solutions Engineer,Industrial IoT sensor data processing for predictive maintenance. Detect's Noctua platform monitors industrial assets for companies like Reliance and Tata Steel,"Detect Technologies' Noctua platform monitoring critical industrial assets for Reliance and Tata Steel generates massive sensor data streams that require real-time anomaly detection. My Brand Storytelling Analytics platform using Scikit-learn can enhance your predictive maintenance by identifying subtle equipment degradation patterns 48 hours before failure, reducing unplanned downtime by 30% for your manufacturing clients.",Yes,2026-02-20 11:35:50 UTC
Crayon Data,suresh.shankar@crayondata.com,AI Solutions Engineer,Personalization engine scaling for banking and travel clients. Crayon's maya.ai platform serves banks like HSBC and ICICI with AI-driven personalization,"Crayon Data's maya.ai platform serving HSBC and ICICI with personalization faces the challenge of processing millions of customer interactions while maintaining sub-second response times. My Edge AI deployment experience can help you push recommendation logic to mobile banking apps, reducing server load by 60% while enabling personalized offers even when customers are offline, increasing engagement by 25%.",Yes,2026-02-20 11:37:52 UTC
LatentView Analytics,venkat.viswanathan@latentview.com,AI Solutions Engineer,Data pipeline automation for Fortune 500 analytics clients. LatentView serves Microsoft PayPal and Walmart with advanced analytics and AI solutions,"LatentView Analytics serving Microsoft and PayPal manages complex multi-tenant data pipelines that require constant optimization for cost and performance. My Brand Storytelling Analytics platform demonstrates how intelligent workload scheduling using Scikit-learn can predict peak processing times and auto-scale resources, reducing cloud infrastructure costs by 35% while maintaining SLA commitments.",Yes,2026-02-20 11:39:54 UTC
Tiger Analytics,mahesh.kumar@tigeranalytics.com,AI Solutions Engineer,MLOps scaling for retail and CPG clients. Tiger Analytics delivers AI solutions for PepsiCo Lowe's and Kellogg's with focus on demand forecasting,"Tiger Analytics' demand forecasting models for PepsiCo and Lowe's require processing massive historical datasets with frequent retraining as market conditions change. My AI-Powered Design Automation System approach to modular pipeline architecture can reduce your model deployment time from weeks to days, enabling faster experimentation and 40% improvement in forecast accuracy through rapid iteration.",Yes,2026-02-20 11:41:55 UTC
Chargebee,krish.subramanian@chargebee.com,AI Solutions Engineer,AI-powered revenue recognition and subscription analytics. Chargebee processes $3B+ in subscription revenue and recently acquired RevLock for AI revenue recognition,"Chargebee's processing of $3B+ in subscription revenue with AI-powered recognition faces challenges in handling complex multi-currency multi-entity transactions at scale. My TensorFlow Lite Edge AI experience can help you deploy lightweight fraud detection models that process transactions in real-time, identifying anomalous patterns 90% faster while reducing false positives by 45%.",Yes,2026-02-20 11:43:57 UTC
Facilio,prabhu.ramachandran@facilio.com,AI Solutions Engineer,IoT data integration from diverse building management systems. Facilio's platform connects with 50+ IoT sensors and systems for commercial real estate optimization,"Facilio's platform integrating 50+ IoT sensor types for commercial real estate faces the challenge of normalizing heterogeneous data streams in real-time. My OpenCV and Flask-based automation system demonstrates how intelligent data preprocessing pipelines can standardize sensor inputs 3x faster, enabling your predictive maintenance algorithms to detect HVAC anomalies 24 hours before equipment failure.",Yes,2026-02-20 11:45:59 UTC
Yubi (CredAvenue),gaurav.kumar@yubi.in,AI Solutions Engineer,AI-powered credit risk assessment for 150+ lending institutions. Yubi has facilitated 140000 crore in credit and serves 80% of India's top banks,"Yubi's facilitation of 140000 crore in credit across 150+ lending institutions requires processing massive alternative data sources for risk assessment. My Brand Storytelling Analytics platform using Scikit-learn can enhance your credit scoring by analyzing non-traditional data patterns, improving approval accuracy by 20% while reducing default rates through early warning indicators identified 30 days before payment delays.",Yes,2026-02-20 11:48:01 UTC
M2P Fintech,madhu.sambasivan@m2pfintech.com,AI Solutions Engineer,Real-time payment processing optimization for 800+ fintech clients. M2P processes millions of daily transactions across 20+ markets with 99.99% uptime requirements,"M2P Fintech's processing of millions of daily transactions across 20+ markets with 99.99% uptime requirements faces critical latency optimization challenges. My TensorFlow Lite Edge AI implementation can deploy intelligent transaction routing models that predict network congestion and automatically select optimal payment rails, reducing processing time by 35% while maintaining compliance across jurisdictions.",Yes,2026-02-20 11:50:03 UTC
Kaleidofin,sucharita.mukherjee@kaleidofin.com,AI Solutions Engineer,AI-driven financial product recommendations for underbanked users. Kaleidofin serves 4M+ low-income customers with ML-based personalized financial services,"Kaleidofin's service to 4M+ underbanked customers through ML-based personalization faces unique challenges with limited digital footprints and feature phone usage. My Edge AI expertise can optimize your recommendation models to run efficiently on low-end devices, expanding your reach to 40% more users while maintaining recommendation quality through intelligent model compression techniques.",Yes,2026-02-20 11:52:04 UTC
Northern Arc,ashish.mehrotra@northernarc.com,AI Solutions Engineer,Automated credit underwriting for microfinance and affordable housing. Northern Arc has facilitated $5B+ in debt finance across underserved market segments,"Northern Arc's facilitation of $5B+ in debt finance requires processing diverse alternative data for credit decisions in markets with limited traditional banking history. My Brand Storytelling Analytics approach to pattern recognition can identify creditworthy borrowers from non-traditional signals, improving approval rates by 25% while maintaining portfolio quality through early default prediction.",Yes,2026-02-20 11:54:06 UTC
Perfios,govind.raj@perfios.com,AI Solutions Engineer,Real-time financial document analysis for 100+ financial institutions. Perfios processes millions of bank statements and tax documents monthly for credit decisions,"Perfios' processing of millions of financial documents monthly for 100+ institutions faces challenges in handling diverse document formats with varying quality. My AI-Powered Design Automation System using OpenCV demonstrates how intelligent document preprocessing can standardize inputs 4x faster, improving OCR accuracy by 30% and reducing manual verification needs by 50%.",Yes,2026-02-20 11:56:08 UTC
SmartRecon,founders@smartrecon.co,AI Solutions Engineer,AI-powered financial reconciliation automation for enterprise clients. SmartRecon reduces manual reconciliation effort by 80% for banking and telecom clients,"SmartRecon's reduction of manual reconciliation effort by 80% for banking clients shows the power of AI in financial operations but scaling to handle enterprise transaction volumes requires optimization. My TensorFlow Lite Edge AI deployment experience can help you process reconciliation rules locally at client sites, reducing data transfer costs by 60% while enabling real-time anomaly detection for immediate fraud alerts.",No,
Upstox,ravi.kumar@upstox.com,AI Solutions Engineer,AI-driven trading insights and risk management for 10M+ users. Upstox is one of India's largest discount brokers with heavy AI investment in trading analytics,"Upstox's 10M+ user base generating millions of daily trades requires real-time risk assessment and personalized trading insights at massive scale. My Edge AI implementation can deploy lightweight risk models directly on trader mobile apps, providing instant margin alerts and position recommendations with sub-100ms latency, improving user retention by 30% through seamless experience.",No,
Slice,rajiv.raj@sliceit.com,AI Solutions Engineer,AI-powered credit line management for 17M+ young consumers. Slice merged with North East Small Finance Bank and serves underbanked Gen Z users,"Slice's service to 17M+ young consumers through AI-powered credit lines faces challenges in assessing creditworthiness for users with limited financial history. My Brand Storytelling Analytics platform demonstrates how behavioral pattern analysis can identify responsible borrowers from digital footprints, improving approval accuracy by 35% while reducing acquisition costs through targeted pre-qualification.",No,
CRED,kunal.shah@cred.club,AI Solutions Engineer,AI-driven credit card bill payment optimization and fraud detection. CRED rewards 17M+ users for bill payments and uses AI for spend pattern analysis,"CRED's analysis of spend patterns for 17M+ users requires processing massive transaction datasets for real-time insights and fraud detection. My TensorFlow Lite Edge AI can deploy lightweight anomaly detection models on user devices, identifying suspicious transactions instantly without server round-trips, improving fraud catch rates by 40% while maintaining sub-second app response times.",No,
PhonePe,sameer.nigam@phonepe.com,AI Solutions Engineer,AI-powered UPI payment optimization and merchant analytics. PhonePe processes 5B+ monthly UPI transactions with AI-driven fraud prevention,"PhonePe's processing of 5B+ monthly UPI transactions with AI fraud prevention faces extreme latency requirements for real-time payment authorization. My Edge AI expertise with TensorFlow Lite can help you deploy ultra-lightweight fraud models that process in under 50ms on payment terminals, reducing false declines by 25% while catching 99.9% of fraudulent transactions before authorization.",No,
Razorpay,harshil.mathur@razorpay.com,AI Solutions Engineer,AI-driven payment gateway optimization and subscription analytics. Razorpay powers payments for 8M+ businesses with ML-based fraud detection,"Razorpay's payment processing for 8M+ businesses requires intelligent routing across multiple payment methods with real-time success rate optimization. My Brand Storytelling Analytics approach to pattern prediction can identify optimal payment rails for each transaction type, improving success rates by 15% while reducing processing costs through intelligent provider selection.",No,
Zepto,aadit.palicha@zepto.com,AI Solutions Engineer,AI-powered inventory prediction for 10-minute grocery delivery. Zepto operates 50+ dark stores with AI-driven demand forecasting and route optimization,"Zepto's 10-minute delivery promise across 50+ dark stores requires hyper-accurate demand forecasting to minimize stockouts while reducing waste. My Scikit-learn-based analytics platform can enhance your demand prediction by incorporating real-time external signals like weather and local events, improving forecast accuracy by 30% and reducing inventory holding costs by 20%.",No,
Swiggy,sriharsha.majety@swiggy.com,AI Solutions Engineer,AI-driven food delivery optimization and restaurant recommendations. Swiggy processes 1M+ daily orders with ML-based delivery time prediction,"Swiggy's 1M+ daily orders require real-time delivery time prediction considering traffic restaurant prep time and rider availability. My TensorFlow Lite Edge AI can deploy lightweight ETA models on rider devices that adapt to local traffic patterns, improving prediction accuracy by 25% and reducing customer complaints through proactive delay notifications.",No,
Blinkit (Zomato),albinder.dhindsa@blinkit.com,AI Solutions Engineer,AI-powered quick commerce inventory and delivery optimization. Blinkit operates 400+ dark stores with 10-minute delivery promise and AI-driven replenishment,"Blinkit's 400+ dark stores with 10-minute delivery require just-in-time inventory replenishment to maintain availability without overstocking. My Edge AI implementation can deploy intelligent reorder point models at each store, analyzing local demand patterns to trigger replenishment 2 hours before stockouts, improving product availability by 15% while reducing working capital needs.",No,
Dunzo,kabeer.biswas@dunzo.com,AI Solutions Engineer,AI-driven hyperlocal delivery optimization and task allocation. Dunzo handles diverse delivery categories with ML-based rider allocation and route planning,"Dunzo's diverse delivery categories from groceries to documents require intelligent task batching and rider allocation for efficiency. My Brand Storytelling Analytics approach to optimization can predict task completion times by category and location, improving rider utilization by 30% and enabling 20% more deliveries per hour through intelligent batching algorithms.",No,
Lenskart,peyush.bansal@lenskart.com,AI Solutions Engineer,AI-powered virtual try-on and prescription lens recommendation. Lenskart's 3D try-on feature uses computer vision and serves 10M+ customers annually,"Lenskart's 3D virtual try-on serving 10M+ customers faces challenges in maintaining accuracy across diverse face shapes and lighting conditions on mobile devices. My OpenCV-based computer vision expertise can optimize your face detection algorithms to run 40% faster on low-end smartphones, expanding your virtual try-on adoption by 25% in Tier 2 and 3 cities where device capabilities are limited.",No,
Nykaa,falguni.nayar@nykaa.com,AI Solutions Engineer,AI-driven beauty product recommendations and virtual makeup try-on. Nykaa's AI powers personalized recommendations across 2000+ beauty brands,"Nykaa's personalized recommendations across 2000+ beauty brands require processing massive SKU catalogs with varying attribute completeness. My AI-Powered Design Automation System demonstrates how intelligent attribute extraction from product images can auto-complete missing metadata, improving recommendation relevance by 35% while reducing manual cataloging effort by 60%.",No,
Myntra,amar.nagaram@myntra.com,AI Solutions Engineer,AI-powered fashion trend prediction and size recommendation. Myntra's AI analyzes fashion trends and provides size fit predictions for 15M+ products,"Myntra's trend prediction and size recommendation for 15M+ products faces challenges in handling rapidly changing fashion trends and diverse body types. My Brand Storytelling Analytics platform can analyze social media signals to identify emerging trends 2 weeks earlier, while my Edge AI expertise can deploy lightweight fit prediction models on the app for instant size recommendations without server calls.",No,
AJIO (Reliance),ishita.sawant@ajio.com,AI Solutions Engineer,AI-driven fashion discovery and personalized styling recommendations. AJIO uses AI for visual search and personalized outfit curation for Gen Z shoppers,"AJIO's visual search and outfit curation for Gen Z shoppers requires processing high-fashion imagery with trend-aware recommendations. My OpenCV-based image processing expertise can enhance your visual search to find similar items from user-uploaded photos in under 200ms, improving search-to-purchase conversion by 40% through instant relevant results.",No,
FirstCry,supam.maheshwari@firstcry.com,AI Solutions Engineer,AI-powered baby product recommendations and parenting content personalization. FirstCry serves 13M+ parents with AI-driven product suggestions and content curation,"FirstCry's service to 13M+ parents requires understanding child development stages for age-appropriate recommendations. My Scikit-learn-based analytics can predict child growth milestones from purchase patterns, enabling proactive recommendations that arrive 2 weeks before parents need them, improving customer lifetime value by 30% through perfectly timed suggestions.",No,
Meesho,vidit.atre@meesho.com,AI Solutions Engineer,AI-driven supplier matching and pricing optimization for social commerce. Meesho enables 15M+ resellers with AI-powered product sourcing and pricing,"Meesho's 15M+ reseller network requires intelligent supplier matching and dynamic pricing for maximum reseller earnings. My Brand Storytelling Analytics approach to pattern recognition can identify high-margin product opportunities by region, improving reseller earnings by 25% while optimizing supplier inventory turnover through intelligent demand routing.",No,
Glowroad,sony.shekhar@glowroad.com,AI Solutions Engineer,AI-powered social selling optimization for women entrepreneurs. Glowroad enables 6M+ women resellers with AI-driven product recommendations,"Glowroad's 6M+ women reseller base requires intuitive tools that work reliably on low-end devices with intermittent connectivity. My TensorFlow Lite Edge AI expertise can deploy lightweight recommendation models that function offline, syncing when connectivity returns, enabling 50% more resellers in rural areas to access AI-powered selling tools.",No,
Shop101,abhinav.jain@shop101.com,AI Solutions Engineer,AI-driven dropshipping optimization and supplier quality prediction. Shop101 enables 10M+ sellers with AI-powered inventory and logistics optimization,"Shop101's 10M+ seller dropshipping model requires predicting supplier reliability and delivery times for customer satisfaction. My Scikit-learn-based predictive models can analyze supplier historical performance to predict delays 48 hours in advance, enabling proactive customer communication and improving satisfaction scores by 20%.",No,
Bikayi,ashutosh.dikshit@bikayi.com,AI Solutions Engineer,AI-powered WhatsApp commerce automation for SMBs. Bikayi helps 10M+ small businesses sell via WhatsApp with AI chatbots and catalogs,"Bikayi's WhatsApp commerce for 10M+ SMBs requires natural language understanding for diverse Indian languages and dialects. My AI-Powered Design Automation System's NLP components can enhance your chatbot to understand regional language variations, improving query resolution rates by 35% and enabling 40% more SMBs to automate customer interactions without human intervention.",No,
Dukaan,suumit.shah@dukaan.com,AI Solutions Engineer,AI-driven e-commerce store creation and product cataloging. Dukaan enables 5M+ merchants to create online stores with AI-powered tools,"Dukaan's 5M+ merchant stores require automated product cataloging from unstructured inputs like photos and descriptions. My OpenCV-based computer vision can extract product attributes from merchant-uploaded images, auto-generating catalog entries with 90% accuracy and reducing store setup time from hours to minutes.",No,
OkCredit,harsh.pokharna@okcredit.in,AI Solutions Engineer,AI-powered credit scoring for small merchants. OkCredit serves 10M+ small businesses with digital ledger and credit services,"OkCredit's 10M+ small business ledger data provides rich signals for creditworthiness assessment but requires sophisticated pattern recognition. My Brand Storytelling Analytics platform can identify creditworthy merchants from transaction patterns 30 days before traditional methods, improving approval rates by 25% while reducing defaults through early warning indicators.",No,
Khatabook,ravish.naresh@khatabook.io,AI Solutions Engineer,AI-driven business insights and cash flow prediction for SMBs. Khatabook serves 20M+ businesses with digital bookkeeping and AI analytics,"Khatabook's 20M+ business records contain patterns that can predict cash flow challenges before they occur. My Scikit-learn-based time series analysis can forecast cash crunches 14 days in advance, enabling proactive loan offers that improve SMB survival rates by 30% while growing Khatabook's credit business.",No,
BharatPe,suhail.sameer@bharatpe.com,AI Solutions Engineer,AI-powered merchant lending and payment acceptance optimization. BharatPe processes $15B+ in payments annually with AI-driven credit decisions,"BharatPe's $15B+ payment volume generates massive data for merchant credit decisions but requires real-time processing for instant loan approvals. My TensorFlow Lite Edge AI can deploy credit models on merchant devices for instant pre-qualification, reducing approval time from days to minutes and increasing loan uptake by 40%.",No,
Pine Labs,amrish.rau@pinelabs.com,AI Solutions Engineer,AI-driven merchant analytics and payment optimization. Pine Labs serves 150000+ merchants with AI-powered insights and payment solutions,"Pine Labs' 150000+ merchant network requires intelligent payment routing and analytics that adapt to each merchant's unique patterns. My Brand Storytelling Analytics approach can identify cross-sell opportunities from transaction patterns, increasing merchant revenue by 15% while optimizing payment success rates through intelligent provider selection.",No,
